code,name,vol,fee,less,bottle
3001050100,Creed Aventus Cologne,30,0,0,0
3001050101,Creed Silver Mountain Water ,30,0,0,0
3001050102,Creed Aventus ,30,0,0,0
3001050103,Creed Green Irish Tweed ,30,0,0,0
3001050104,Creed Viking ,30,0,0,0
3001050105,Creed Erolfa ,30,0,0,0
3001050106,Creed Royal Water ,30,0,0,0
3001050107,Creed Himalaya ,30,0,0,0
3001050108,Creed Bois Du Portugal ,30,0,0,0
3001050109,Creed Vetiver Geranium ,30,0,0,0
3001050110,Creed Tabarome Millesime ,30,0,0,0
3001050111,Creed Millesime Imperial ,30,0,0,0
3001050112,Creed Spring Flower ,30,0,0,0
3001050113,Creed Fleurs De Gardenia ,30,0,0,0
3001050114,Creed Aventus For Her ,30,0,0,0
3001050115,Creed Original Vetiver ,30,0,0,0
3001050116,Creed Love In White ,30,0,0,0
3001050117,Creed Royal Oud ,30,0,0,0
3001050400,Dior Jadore ,30,0,0,0
3001050401,Dior Homme Perfume ,30,0,0,0
3001050402,Dior Miss ,30,0,0,0
3001050403,Dior Joy ,30,0,0,0
3001050404,Dior Poison Girl ,30,0,0,0
3001050405,Dior Sauvage ,30,0,0,0
3001050406,Dior Tresor Midnight ,30,0,0,0
3001050700,Marry Me Lanvin ,30,0,0,0
3001050701,Silver Scent Bogart ,30,0,0,0
3001050702,Marly Pegasus ,30,0,0,0
3001050703,Armani Code Cashmere ,30,0,0,0
3001050704,Zen Shiseido ,30,0,0,0
3001050705,Good Girl Carolina Herrera ,30,0,0,0
3001050706,Viva La Juicy Gold Couture ,30,0,0,0
3001050707,Narciso Bleu Noir ,30,0,0,0
3001050708,Invictus Paco Rabanne ,30,0,0,0
3001050709,Legend Mont Blanc ,30,0,0,0
3001050710,Gio Black ,30,0,0,0
3001050711,Splendor ,30,0,0,0
3001050712,Ariana Grande ,30,0,0,0
3001050713,Azzaro Wanted Girl ,30,0,0,0
3001050714,Eclat Lanvin ,30,0,0,0
3001050715,ACQUA DI GIO PROFUMO ,30,0,0,0
3001050716,YVES SAINT LAURENT La Nuit de L’Homme ,30,0,0,0
3001050718,Versace Pour Homme ,30,0,0,0
3001050719,Baccarat Rouge 540 Extrait de parfum ,30,0,0,0
3001050717,Chanel Coco Mademoiselle,30,0,0,0
3001050000,Creed Aventus Cologne,100,0,0,0
3001050001,Creed Silver Mountain Water ,100,0,0,0
3001050002,Creed Aventus ,100,0,0,0
3001050003,Creed Green Irish Tweed ,100,0,0,0
3001050004,Creed Viking ,100,0,0,0
3001050005,Creed Erolfa ,100,0,0,0
3001050006,Creed Royal Water ,100,0,0,0
3001050007,Creed Himalaya ,100,0,0,0
3001050008,Creed Bois Du Portugal ,100,0,0,0
3001050009,Creed Vetiver Geranium ,100,0,0,0
3001050010,Creed Tabarome Millesime ,100,0,0,0
3001050011,Creed Millesime Imperial ,100,0,0,0
3001050012,Creed Spring Flower ,100,0,0,0
3001050013,Creed Fleurs De Gardenia ,100,0,0,0
3001050014,Creed Aventus For Her ,100,0,0,0
3001050015,Creed Original Vetiver ,100,0,0,0
3001050016,Creed Love In White ,100,0,0,0
3001050017,Creed Royal Oud ,100,0,0,0
3001050300,Dior Jadore ,100,0,0,0
3001050301,Dior Homme Perfume ,100,0,0,0
3001050302,Dior Miss ,100,0,0,0
3001050303,Dior Joy ,100,0,0,0
3001050304,Dior Poison Girl ,100,0,0,0
3001050305,Dior Sauvage ,100,0,0,0
3001050306,Dior Tresor Midnight ,100,0,0,0
3001050600,Marry Me Lanvin ,100,0,0,0
3001050601,Silver Scent Bogart ,100,0,0,0
3001050602,Marly Pegasus ,100,0,0,0
3001050603,Armani Code Cashmere ,100,0,0,0
3001050604,Zen Shiseido ,100,0,0,0
3001050605,Good Girl Carolina Herrera ,100,0,0,0
3001050606,Viva La Juicy Gold Couture ,100,0,0,0
3001050607,Narciso Bleu Noir ,100,0,0,0
3001050608,Invictus Paco Rabanne ,100,0,0,0
3001050609,Legend Mont Blanc ,100,0,0,0
3001050610,Gio Black ,100,0,0,0
3001050611,Splendor ,100,0,0,0
3001050612,Ariana Grande ,100,0,0,0
3001050613,Azzaro Wanted Girl ,100,0,0,0
3001050614,Eclat Lanvin ,100,0,0,0
3001050615,ACQUA DI GIO PROFUMO ,100,0,0,0
3001050616,YVES SAINT LAURENT La Nuit de L’Homme ,100,0,0,0
3001050618,Versace Pour Homme ,100,0,0,0
3001050619,Baccarat Rouge 540 Extrait De Parfum ,100,0,0,0
3001050617,Chanel Coco Mademoiselle,100,0,0,0
